year,state,state_po,county_name,county_fips,Total Votes,Republican,Democrat,Repub_%,Dem_%,Majority
2020,GEORGIA,GA,TROUP,13285,30049,18143,11578,0.60378,0.3853,Republican
2020,GEORGIA,GA,TURNER,13287,3792,2349,1410,0.61946,0.37184,Republican
2020,GEORGIA,GA,TWIGGS,13289,4444,2370,2044,0.5333,0.45995,Republican
2020,GEORGIA,GA,UNION,13291,15560,12651,2801,0.81305,0.18001,Republican
2020,GEORGIA,GA,UPSON,13293,12905,8608,4201,0.66703,0.32553,Republican
2020,GEORGIA,GA,WALKER,13295,29354,23174,5769,0.78947,0.19653,Republican
2020,GEORGIA,GA,WALTON,13297,51095,37842,12682,0.74062,0.2482,Republican
2020,GEORGIA,GA,WARE,13299,14192,9865,4211,0.69511,0.29672,Republican
2020,GEORGIA,GA,WARREN,13301,2651,1166,1469,0.43983,0.55413,Democrat
2020,GEORGIA,GA,WASHINGTON,13303,9459,4663,4730,0.49297,0.50005,Democrat
2020,GEORGIA,GA,WAYNE,13305,12778,9987,2687,0.78158,0.21028,Republican
2020,GEORGIA,GA,WEBSTER,13307,1390,748,639,0.53813,0.45971,Republican
2020,GEORGIA,GA,WHEELER,13309,2285,1583,689,0.69278,0.30153,Republican
2020,GEORGIA,GA,WHITE,13311,14816,12222,2411,0.82492,0.16273,Republican
2020,GEORGIA,GA,WHITFIELD,13313,36746,25636,10670,0.69765,0.29037,Republican
2020,GEORGIA,GA,WILCOX,13315,3281,2403,862,0.7324,0.26272,Republican
2020,GEORGIA,GA,WILKES,13317,5029,2823,2160,0.56134,0.42951,Republican
2020,GEORGIA,GA,WILKINSON,13319,4770,2664,2075,0.55849,0.43501,Republican
2020,GEORGIA,GA,WORTH,13321,9285,6830,2395,0.7356,0.25794,Republican
2020,HAWAII,HI,HAWAII,15001,87814,26897,58731,0.3063,0.66881,Democrat
2020,HAWAII,HI,HONOLULU,15003,382102,136250,238866,0.35658,0.62514,Democrat
2020,HAWAII,HI,KAUAI,15007,33497,11582,21225,0.34576,0.63364,Democrat
2020,HAWAII,HI,MAUI,15009,71044,22126,47305,0.31144,0.66585,Democrat
2020,IDAHO,ID,ADA,16001,259389,130699,120539,0.50387,0.4647,Republican
2020,IDAHO,ID,ADAMS,16003,2586,1941,591,0.75058,0.22854,Republican
2020,IDAHO,ID,BANNOCK,16005,39553,23331,14682,0.58987,0.3712,Republican
2020,IDAHO,ID,BEAR LAKE,16007,3315,2914,350,0.87903,0.10558,Republican
2020,IDAHO,ID,BENEWAH,16009,4973,3878,977,0.77981,0.19646,Republican
2020,IDAHO,ID,BINGHAM,16011,19996,15295,4124,0.7649,0.20624,Republican
2020,IDAHO,ID,BLAINE,16013,13289,4032,8919,0.30341,0.67116,Democrat
2020,IDAHO,ID,BOISE,16015,4820,3485,1204,0.72303,0.24979,Republican
2020,IDAHO,ID,BONNER,16017,27335,18369,8310,0.672,0.30401,Republican
2020,IDAHO,ID,BONNEVILLE,16019,53995,37805,14254,0.70016,0.26399,Republican
