"X1","X2","muhat","Vhat","X1_2","X2_2","X1_ln","X2_ln","X1_sqrt","X2_sqrt","X1_e","X2_e"
0.01,0.08,21.008994186957,98.0096581962664,1e-04,0.0064,0.00995033085316809,0.0769610411361284,0.1,0.282842712474619,1.01005016708417,1.08328706767496
0.01,0.09,21.7653813717085,138.716676698673,1e-04,0.0081,0.00995033085316809,0.0861776962410524,0.1,0.3,1.01005016708417,1.09417428370521
0.01,0.1,20.935313932568,96.4818296132103,1e-04,0.01,0.00995033085316809,0.0953101798043249,0.1,0.316227766016838,1.01005016708417,1.10517091807565
0.01,0.11,20.524683683754,109.176884803783,1e-04,0.0121,0.00995033085316809,0.104360015324243,0.1,0.33166247903554,1.01005016708417,1.11627807045887
0.01,0.12,20.4474893785045,104.061076241298,1e-04,0.0144,0.00995033085316809,0.113328685307003,0.1,0.346410161513775,1.01005016708417,1.12749685157938
0.01,0.13,20.6910918082725,89.8038716944835,1e-04,0.0169,0.00995033085316809,0.122217632724249,0.1,0.360555127546399,1.01005016708417,1.13882838332462
0.01,0.14,21.211254470431,133.646331336495,1e-04,0.0196,0.00995033085316809,0.131028262406404,0.1,0.374165738677394,1.01005016708417,1.15027379885723
0.01,0.15,20.9810644042725,102.518305487612,1e-04,0.0225,0.00995033085316809,0.139761942375159,0.1,0.387298334620742,1.01005016708417,1.16183424272828
0.01,0.16,19.555295880095,76.6153391270128,1e-04,0.0256,0.00995033085316809,0.148420005118273,0.1,0.4,1.01005016708417,1.17351087099181
0.01,0.17,19.6204765116135,99.8632481523483,1e-04,0.0289,0.00995033085316809,0.157003748809665,0.1,0.412310562561766,1.01005016708417,1.18530485132037
0.01,0.18,20.276239334356,115.108285161529,1e-04,0.0324,0.00995033085316809,0.165514438477573,0.1,0.424264068711929,1.01005016708417,1.19721736312181
0.01,0.19,20.389172906917,96.5148849348301,1e-04,0.0361,0.00995033085316809,0.173953307123438,0.1,0.435889894354067,1.01005016708417,1.20924959765725
0.01,0.2,21.2724882782275,103.30032037225,1e-04,0.04,0.00995033085316809,0.182321556793955,0.1,0.447213595499958,1.01005016708417,1.22140275816017
0.01,0.21,21.513134788234,160.86598253454,1e-04,0.0441,0.00995033085316809,0.19062035960865,0.1,0.458257569495584,1.01005016708417,1.23367805995674
0.01,0.22,20.4094547532585,105.105653103984,1e-04,0.0484,0.00995033085316809,0.198850858745165,0.1,0.469041575982343,1.01005016708417,1.24607673058738
0.01,0.23,19.8354425711635,85.8971333369367,1e-04,0.0529,0.00995033085316809,0.207014169384326,0.1,0.479583152331272,1.01005016708417,1.25860000992948
0.01,0.24,19.812432892369,70.6471130733221,1e-04,0.0576,0.00995033085316809,0.215111379616945,0.1,0.489897948556636,1.01005016708417,1.2712491503214
0.01,0.25,19.85339705818,129.210788444198,1e-04,0.0625,0.00995033085316809,0.22314355131421,0.1,0.5,1.01005016708417,1.28402541668774
0.01,0.26,20.8720612078845,96.2827054407795,1e-04,0.0676,0.00995033085316809,0.231111720963387,0.1,0.509901951359279,1.01005016708417,1.29693008666577
0.01,0.27,20.7653348242565,102.896704643082,1e-04,0.0729,0.00995033085316809,0.2390169004705,0.1,0.519615242270663,1.01005016708417,1.30996445073325
0.01,0.28,20.435995123217,108.546822104151,1e-04,0.0784,0.00995033085316809,0.246860077931526,0.1,0.529150262212918,1.01005016708417,1.32312981233744
0.01,0.29,19.875059633694,81.3643990902343,1e-04,0.0841,0.00995033085316809,0.254642218373581,0.1,0.53851648071345,1.01005016708417,1.33642748802547
0.01,0.3,19.6039801132205,91.1970987470879,1e-04,0.09,0.00995033085316809,0.262364264467491,0.1,0.547722557505166,1.01005016708417,1.349858807576
0.01,0.31,19.962330891614,103.841465612149,1e-04,0.0961,0.00995033085316809,0.27002713721306,0.1,0.556776436283002,1.01005016708417,1.36342511413218
0.01,0.32,19.8748164792525,90.1253574142894,1e-04,0.1024,0.00995033085316809,0.27763173659828,0.1,0.565685424949238,1.01005016708417,1.37712776433596
0.01,0.33,19.2709427441145,114.672297362928,1e-04,0.1089,0.00995033085316809,0.285178942233662,0.1,0.574456264653803,1.01005016708417,1.39096812846378
0.01,0.34,20.8032828876835,122.547610609165,1e-04,0.1156,0.00995033085316809,0.29266961396282,0.1,0.58309518948453,1.01005016708417,1.40494759056359
0.01,0.35,19.535595080523,98.8989372394515,1e-04,0.1225,0.00995033085316809,0.300104592450338,0.1,0.591607978309962,1.01005016708417,1.41906754859326
0.01,0.36,19.8748422294605,94.9866935292764,1e-04,0.1296,0.00995033085316809,0.307484699747961,0.1,0.6,1.01005016708417,1.43332941456034
0.01,0.37,20.1968946993265,80.6752170879062,1e-04,0.1369,0.00995033085316809,0.314810739840034,0.1,0.608276253029822,1.01005016708417,1.44773461466332
0.01,0.38,20.5305849653475,100.455171040659,1e-04,0.1444,0.00995033085316809,0.322083499169113,0.1,0.616441400296898,1.01005016708417,1.46228458943422
